verein,spieler_id,name,position,punkte,einsaetze,punkte_pro_spiel,marktwert,trend
Sport-Club Freiburg,32597,Kübler,Abwehr,8,2 (2),"4,00",2740000,steigend (Staerke 5)
Sport-Club Freiburg,32579,Jung,Abwehr,0,-,-,280000,fallend (Staerke 1)
Sport-Club Freiburg,32019,Günter,Abwehr,0,-,-,900000,steigend (Staerke 1)
Sport-Club Freiburg,31910,Ginter,Abwehr,17,2 (2),"8,50",5930000,fallend (Staerke 1)
Sport-Club Freiburg,34184,Suzuki,Mittelfeld,26,2 (2),"13,00",9290000,steigend (Staerke 5)
Sport-Club Freiburg,34361,Tarnutzer,Mittelfeld,0,-,-,210000,unbekannt
Sport-Club Freiburg,34437,Yamamoto,Mittelfeld,0,-,-,1690000,fallend (Staerke 2)
Sport-Club Freiburg,32961,Beste,Mittelfeld,11,2 (2),"5,50",4780000,steigend (Staerke 1)
Sport-Club Freiburg,32071,Grifo,Mittelfeld,3,1 (1),"3,00",5130000,fallend (Staerke 3)
Sport-Club Freiburg,33603,Y. Engelhardt,Mittelfeld,-3,2 (2),"-1,50",3790000,fallend (Staerke 2)
Sport-Club Freiburg,33156,Osterhage,Mittelfeld,0,-,-,1020000,fallend (Staerke 3)
Sport-Club Freiburg,33008,Muslija,Mittelfeld,0,-,-,180000,unbekannt
Sport-Club Freiburg,32398,M. Eggestein,Mittelfeld,18,2 (2),"9,00",6070000,steigend (Staerke 3)
Sport-Club Freiburg,32861,Höler,Sturm,4,1 (1),"4,00",2620000,unbekannt
Sport-Club Freiburg,34183,Irié,Sturm,2,1 (1),"2,00",2190000,steigend (Staerke 3)
Sport-Club Freiburg,33783,Matanović,Sturm,21,2 (2),"10,50",11410000,steigend (Staerke 3)
Sport-Club Freiburg,33629,Scherhant,Sturm,6,2 (2),"3,00",4510000,steigend (Staerke 3)
Sport-Club Freiburg,34451,Goto,Sturm,4,2 (2),"2,00",2580000,fallend (Staerke 3)
Eintracht Frankfurt,31458,Grahl,Torwart,0,-,-,160000,unbekannt
Eintracht Frankfurt,33439,Atubolu,Torwart,7,1 (1),"7,00",4530000,steigend (Staerke 5)
Eintracht Frankfurt,34073,Siljević,Torwart,0,-,-,160000,unbekannt
Eintracht Frankfurt,33855,Kauã Santos,Torwart,0,-,-,930000,fallend (Staerke 5)
Eintracht Frankfurt,34310,Neuendorff,Abwehr,0,-,-,320000,fallend (Staerke 2)
Eintracht Frankfurt,34221,Maluze,Abwehr,6,1 (1),"6,00",1640000,steigend (Staerke 5)
Eintracht Frankfurt,34313,Kosugi,Abwehr,0,1 (1),"0,00",2100000,fallend (Staerke 2)
Eintracht Frankfurt,34511,Brassier,Abwehr,0,-,-,4750000,unbekannt
Eintracht Frankfurt,33869,Baum,Abwehr,4,1 (1),"4,00",3560000,steigend (Staerke 1)
Eintracht Frankfurt,34490,Otávio,Abwehr,1,1 (1),"1,00",2630000,fallend (Staerke 3)
Eintracht Frankfurt,33836,Collins,Abwehr,0,-,-,1400000,fallend (Staerke 2)
Eintracht Frankfurt,32836,Koch,Abwehr,5,1 (1),"5,00",5580000,unbekannt
Eintracht Frankfurt,34493,Onyedika,Mittelfeld,-1,1 (1),"-1,00",5240000,fallend (Staerke 2)
Eintracht Frankfurt,31572,Götze,Mittelfeld,0,-,-,1920000,fallend (Staerke 1)
Eintracht Frankfurt,34314,Arrhov,Mittelfeld,1,1 (1),"1,00",730000,steigend (Staerke 4)
Eintracht Frankfurt,31743,Chandler,Mittelfeld,0,-,-,200000,unbekannt
Eintracht Frankfurt,34312,Kumashiro,Mittelfeld,0,-,-,190000,unbekannt
Eintracht Frankfurt,34008,Uzun,Mittelfeld,1,1 (1),"1,00",7580000,fallend (Staerke 2)
Eintracht Frankfurt,33856,Chaïbi,Mittelfeld,1,1 (1),"1,00",3190000,steigend (Staerke 2)
Eintracht Frankfurt,34019,O. Højlund,Mittelfeld,0,1 (1),"0,00",1350000,steigend (Staerke 2)
Eintracht Frankfurt,33335,Doan,Mittelfeld,0,-,-,6370000,steigend (Staerke 2)
Eintracht Frankfurt,33912,Aséko,Mittelfeld,0,-,-,2940000,unbekannt
Eintracht Frankfurt,33383,Knauff,Mittelfeld,0,-,-,1470000,fallend (Staerke 5)
Eintracht Frankfurt,34465,Pimpong,Sturm,1,1 (1),"1,00",1460000,steigend (Staerke 1)
Eintracht Frankfurt,34318,Amaimouni-Echghouyab,Sturm,4,1 (1),"4,00",3200000,steigend (Staerke 5)
Eintracht Frankfurt,34316,Ebnoutalib,Sturm,19,1 (1),"19,00",10360000,steigend (Staerke 5)
Eintracht Frankfurt,33214,Ngankam,Sturm,0,-,-,170000,unbekannt
Eintracht Frankfurt,32948,Burkardt,Sturm,3,1 (1),"3,00",10910000,unbekannt
FC Augsburg,33990,Labrović,Torwart,0,-,-,160000,unbekannt
FC Augsburg,32877,Dahmen,Torwart,7,1 (1),"7,00",2880000,steigend (Staerke 1)
FC Augsburg,34363,Wisbereit,Torwart,0,-,-,170000,unbekannt
FC Augsburg,34522,Bah,Abwehr,0,-,-,2930000,unbekannt
FC Augsburg,34017,N. Banks,Abwehr,5,1 (1),"5,00",3380000,steigend (Staerke 5)
FC Augsburg,34057,Matsima,Abwehr,8,1 (1),"8,00",4710000,steigend (Staerke 5)
FC Augsburg,34106,Behrens,Abwehr,7,1 (1),"7,00",3870000,steigend (Staerke 5)
