spieler_id,name,verein,news_headline,news_link,news_count_7d,transfer_news_flag,stammplatz_news_flag
33853,Tella,Bayer 04 Leverkusen,Tella plant Comeback nach Länderspiel­pau­se,https://www.ligainsider.de/nathan-tella_36300/tella-plant-comeback-nach-laenderspielpause-417952/,0,0,0
33827,Boniface,Bayer 04 Leverkusen,Boniface noch nicht bereit für Dreifachbe­las­tung,https://www.ligainsider.de/victor-boniface_35360/boniface-noch-nicht-bereit-fuer-dreifachbelastung-417677/,0,0,0
34461,Moreira,Bayer 04 Leverkusen,Nach Sieg gegen Union: Martínez erklärt Flügel-Plan,https://www.ligainsider.de/ibrahim-maza_35905/nach-sieg-gegen-union-martinez-erklaert-fluegel-plan-417714/,0,0,0
33179,Schick,Bayer 04 Leverkusen,"Martínez ordnet ein: Maza auf der Zehn, Diaby rechts",https://www.ligainsider.de/ibrahim-maza_35905/martinez-ordnet-ein-maza-auf-der-zehn-diaby-rechts-417633/,0,0,0
34311,Culbreath,Bayer 04 Leverkusen,Culbreath visiert Rückkehr während Länderspiel­pau­se an,https://www.ligainsider.de/montrell-culbreath_37258/culbreath-visiert-rueckkehr-waehrend-laenderspielpause-an-418263/,1,0,0
34024,Terrier,Bayer 04 Leverkusen,Andrich meldet sich zurück: Martínez plant mit Rotation,https://www.ligainsider.de/robert-andrich_2590/andrich-meldet-sich-zurueck-martinez-plant-mit-rotation-418200/,1,0,0
34285,Ben Seghir,Bayer 04 Leverkusen,Ben Seghir feiert Ein­satzcome­back,https://www.ligainsider.de/eliesse-ben-seghir_35709/ben-seghir-feiert-einsatzcomeback-418198/,1,0,0
34234,Kofane,Bayer 04 Leverkusen,Kofane vor Verlänge­rung,https://www.ligainsider.de/christian-kofane_38550/kofane-vor-verlaengerung-417781/,0,0,0
33122,Diaby,Bayer 04 Leverkusen,Andrich meldet sich zurück: Martínez plant mit Rotation,https://www.ligainsider.de/robert-andrich_2590/andrich-meldet-sich-zurueck-martinez-plant-mit-rotation-418200/,1,0,0
33747,Seimen,VfB Stuttgart,"Lob für Bredlow, Treue zu Seimen: Hoeneß klärt Torwartfrage",https://www.ligainsider.de/dennis-seimen_35226/lob-fuer-bredlow-treue-zu-seimen-hoeness-klaert-torwartfrage-418251/,3,0,0
33401,M. Funk,VfB Stuttgart,,,0,0,0
33342,Drljača,VfB Stuttgart,Drljača fällt mit Mus­kelverlet­zung vorerst aus,https://www.ligainsider.de/stefan-drljaca_7606/drlja-a-faellt-mit-muskelverletzung-vorerst-aus-403448/,0,0,0
32891,Bredlow,VfB Stuttgart,"Lob für Bredlow, Treue zu Seimen: Hoeneß klärt Torwartfrage",https://www.ligainsider.de/dennis-seimen_35226/lob-fuer-bredlow-treue-zu-seimen-hoeness-klaert-torwartfrage-418251/,1,0,0
34112,Jaquez,VfB Stuttgart,Jaquez fällt auch gegen Dortmund aus,https://www.ligainsider.de/luca-jaquez_38305/jaquez-faellt-auch-gegen-dortmund-aus-418214/,1,0,0
34050,Al-Dakhil,VfB Stuttgart,,,0,0,0
34001,Hendriks,VfB Stuttgart,Hendriks meldet sich fit,https://www.ligainsider.de/ramon-hendriks_23957/hendriks-meldet-sich-fit-417804/,0,0,0
32509,Mittelstädt,VfB Stuttgart,,,0,0,0
32773,Zagadou,VfB Stuttgart,Zagadou absolviert erste Läufe auf dem Rasen,https://www.ligainsider.de/dan-axel-zagadou_12683/zagadou-absolviert-erste-laeufe-auf-dem-rasen-417808/,0,0,0
