spieler_id,name,verein,marktwert,punkte,punkte_pro_spiel,mw_pro_punkt,mw_pro_punkteschnitt
34085,Alajbegović,Bayer 04 Leverkusen,2800000,0,-,,
34024,Terrier,Bayer 04 Leverkusen,1440000,73,"4,06",19726,354680
33827,Boniface,Bayer 04 Leverkusen,2590000,35,"3,18",74000,814465
33179,Schick,Bayer 04 Leverkusen,9280000,174,"6,21",53333,1494364
34461,Moreira,Bayer 04 Leverkusen,7230000,0,-,,
33747,Seimen,VfB Stuttgart,2110000,0,-,,
33401,M. Funk,VfB Stuttgart,170000,0,-,,
33342,Drljača,VfB Stuttgart,160000,0,-,,
32891,Bredlow,VfB Stuttgart,1130000,0,-,,
34197,Assignon,VfB Stuttgart,400000,39,"1,95",10256,205128
33552,Chabot,VfB Stuttgart,4030000,118,"4,37",34153,922197
34050,Al-Dakhil,VfB Stuttgart,310000,15,"2,50",20667,124000
33850,Stergiou,VfB Stuttgart,350000,11,"2,20",31818,159091
32509,Mittelstädt,VfB Stuttgart,6660000,196,"6,13",33980,1086460
32773,Zagadou,VfB Stuttgart,780000,16,"5,33",48750,146341
34112,Jaquez,VfB Stuttgart,1030000,45,"3,46",22889,297688
34115,Jeltsch,VfB Stuttgart,2380000,59,"2,81",40339,846975
32880,Vagnoman,VfB Stuttgart,1790000,66,"2,87",27121,623693
34001,Hendriks,VfB Stuttgart,1830000,74,"2,47",24730,740891
34288,El Khannouss,VfB Stuttgart,5580000,139,"5,56",40144,1003597
34074,Malanga,VfB Stuttgart,240000,0,-,,
34262,Ćatović,VfB Stuttgart,170000,0,-,,
32492,Prömel,VfB Stuttgart,4220000,144,"4,65",29306,907527
33411,Leweling,VfB Stuttgart,7700000,164,"5,13",46951,1500975
32830,Nartey,VfB Stuttgart,3330000,116,"4,64",28707,717672
33666,Ulrich,VfB Stuttgart,320000,0,-,,
34253,Chema Andrés,VfB Stuttgart,3900000,97,"4,62",40206,844156
33437,Stiller,VfB Stuttgart,7820000,180,"5,29",43444,1478261
32858,Führich,VfB Stuttgart,7470000,181,"5,66",41271,1319788
34488,Yigit,VfB Stuttgart,170000,0,-,,
33085,Karazor,VfB Stuttgart,2250000,80,"3,20",28125,703125
34320,Arévalo,VfB Stuttgart,470000,10,"2,50",47000,188000
34286,Bouanani,VfB Stuttgart,880000,32,"2,46",27500,357724
34458,van der Leij,VfB Stuttgart,560000,0,-,,
34230,Jovanović,VfB Stuttgart,440000,6,"2,00",73333,220000
33832,Undav,VfB Stuttgart,12840000,218,"7,52",58899,1707447
33812,Milošević,VfB Stuttgart,650000,44,"3,67",14773,177112
33718,Diehl,VfB Stuttgart,250000,0,-,,
33557,Tiago Tomás,VfB Stuttgart,2730000,103,"3,96",26505,689394
33311,Demirović,VfB Stuttgart,6880000,146,"6,35",47123,1083465
34491,Sauer,VfB Stuttgart,4370000,0,-,,
31489,Baumann,TSG Hoffenheim,2930000,103,"3,03",28447,966997
33313,Philipp,TSG Hoffenheim,170000,0,-,,
33913,Petersson,TSG Hoffenheim,160000,0,-,,
34048,Hranáč,TSG Hoffenheim,1270000,88,"3,03",14432,419142
34051,Gendrey,TSG Hoffenheim,520000,20,"4,00",26000,130000
34062,Chaves,TSG Hoffenheim,620000,57,"3,80",10877,163158
34213,Machida,TSG Hoffenheim,950000,1,"1,00",950000,950000
34457,Dulic,TSG Hoffenheim,320000,0,-,,
34257,Coufal,TSG Hoffenheim,5130000,159,"4,68",32264,1096154
34275,Hajdari,TSG Hoffenheim,3270000,119,"3,97",27479,823678
34340,Engelns,TSG Hoffenheim,250000,0,-,,
34446,Rots,TSG Hoffenheim,2000000,0,-,,
34487,Abraha,TSG Hoffenheim,170000,0,-,,
32693,Bernardo,TSG Hoffenheim,2270000,104,"3,59",21827,632312
33026,Kabak,TSG Hoffenheim,3580000,113,"4,71",31681,760085
34474,De Cat,TSG Hoffenheim,7190000,0,-,,
33857,Conté,TSG Hoffenheim,690000,0,-,,
34242,Burger,TSG Hoffenheim,5900000,149,"4,97",39597,1187123
32680,Geiger,TSG Hoffenheim,180000,0,-,,
34202,Avdullahu,TSG Hoffenheim,3250000,121,"3,67",26860,885559
34034,Prass,TSG Hoffenheim,1480000,91,"3,14",16264,471338
