spieler_id,name,form,gespielte_spiele_letzte_5_pct,gespielte_spiele_ampel
34009,Sano,3.8,100,gruen
34207,Santos Daiber,2.0,0,rot
34079,Sarco,1.4,20,rot
33258,Scally,4.6,100,gruen
34325,Schenten,0.6,0,rot
33629,Scherhant,2.4,100,gruen
33179,Schick,10.0,100,gruen
34245,Schmetgens,3.0,0,rot
33110,Schmid,6.6,100,gruen
34135,Schmied,0.6,60,gelb
34351,Schnitzer,1.0,0,rot
32356,Schwäbe,1.6,100,gruen
33550,Schäfer,5.2,100,gruen
34241,Sebulonsen,1.2,100,gruen
33769,Seiwald,3.8,80,gruen
34006,Sieb,1.2,80,gruen
33247,Silas,1.6,0,rot
34323,Simpson-Pusey,2.6,80,gruen
33616,Skarke,3.0,80,gruen
33157,Skhiri,3.0,100,gruen
33158,Skov,1.67,0,rot
33640,Stage,7.0,100,gruen
34249,Stange,2.0,80,gruen
33386,Stanišić,2.6,100,gruen
32120,Stark,2.8,40,gelb
33850,Stergiou,2.2,20,rot
33437,Stiller,4.4,100,gruen
31985,Stöger,4.4,100,gruen
34184,Suzuki,2.0,40,gelb
34114,Svensson,2.8,80,gruen
34116,T. Gomis,1.0,40,gelb
32157,Tah,3.2,80,gruen
34334,Tangvik,10.0,20,rot
34201,Tape,0.8,0,rot
33207,Tapsoba,5.0,100,gruen
34361,Tarnutzer,1.0,20,rot
33853,Tella,6.8,60,gelb
34024,Terrier,3.6,0,rot
34043,Theate,3.2,40,gelb
33185,Thielmann,2.6,80,gruen
33557,Tiago Tomás,2.6,100,gruen
33070,Tietz,6.2,100,gruen
33530,Tillman,2.2,100,gruen
33574,Tohumcu,2.2,0,rot
33741,Topp,2.4,0,rot
32710,Torunarigha,2.4,80,gruen
33947,Treu,1.4,60,gelb
33096,Trimmel,4.8,100,gruen
33778,Ullrich,1.2,60,gelb
31216,Ulreich,6.0,0,rot
33832,Undav,6.2,80,gruen
32720,Upamecano,4.4,40,gelb
33494,Urbig,4.2,100,gruen
34008,Uzun,5.8,100,gruen
32880,Vagnoman,0.0,80,gruen
33919,Vandevoordt,2.8,80,gruen
31846,W. Orbán,6.6,80,gruen
34096,Wahi,1.2,0,rot
32206,Waldschmidt,6.0,80,gruen
33478,Widmer,3.6,80,gruen
33507,Wimmer,5.2,80,gruen
32546,Wolf,2.6,100,gruen
33603,Y. Engelhardt,3.0,100,gruen
32773,Zagadou,5.33,20,rot
32364,Zentner,4.6,20,rot
32408,Zetterer,3.8,100,gruen
31762,da Costa,2.6,100,gruen
34267,van den Berg,2.6,0,rot
34091,Čović,3.2,20,rot
34107,Đurić,3.0,0,rot
